trip_id,arrival_time,departure_time,stop_id,stop_sequence
2130,9:55:00,9:55:00,TRTO,1
2130,12:25:00,12:25:00,WSHG,2
2130,16:57:00,16:57:00,SUDJ,3
2130,17:22:00,17:52:00,CAPR,4
2130,18:48:00,18:48:00,LAFO,5
2130,19:01:00,19:01:00,MCKC,6
2130,19:21:00,19:21:00,FELX,7
2130,19:28:00,19:28:00,RUEL,8
2130,19:45:00,19:45:00,WSTR,9
2130,20:18:00,20:18:00,GOGA,10
2130,22:44:00,22:44:00,FOLE,11
2130,23:38:00,23:38:00,ELSA,12
2130,25:38:00,25:38:00,OBAX,13
2130,26:29:00,27:09:00,HNPN,14
2130,28:05:00,28:05:00,HLSP,15
2130,28:55:00,28:55:00,CARA,16
2130,29:34:00,29:34:00,LLAC,17
2130,30:13:00,30:13:00,NAKI,18
2130,31:19:00,31:19:00,AUDN,19
2130,31:56:00,31:56:00,FERL,20
2130,32:05:00,32:05:00,MUDR,21
2130,33:17:00,33:17:00,ARMG,22
2130,33:47:00,33:47:00,COLL,23
2130,34:26:00,34:26:00,ALWB,24
2130,34:42:00,34:42:00,FLTL,25
2130,34:59:00,34:59:00,SAVL,26
2130,36:25:00,36:55:00,SLKT,27
2130,38:05:00,38:05:00,RCHN,28
2130,38:41:00,38:41:00,RLRX,29
2130,39:10:00,39:10:00,CNYK,30
2130,39:47:00,39:47:00,FARL,31
2130,40:23:00,40:23:00,RDDT,32
2130,40:44:00,40:44:00,MNKI,33
2130,41:01:00,41:01:00,OTTM,34
2130,41:07:00,41:07:00,MLCH,35
2130,41:09:00,41:09:00,COPE,36
2130,41:12:00,41:12:00,RCLK,37
2130,41:26:00,41:26:00,WNTB,38
2130,41:31:00,41:31:00,OPHR,39
2130,41:49:00,41:49:00,BRTL,40
2130,42:10:00,42:10:00,ELMA,41
2130,44:30:00,46:30:00,WNPG,42
2130,48:04:00,48:04:00,PLPX,43
2130,50:31:00,50:31:00,RVRS,44
2130,54:54:00,55:04:00,MELV,45
2130,57:54:00,57:54:00,WATR,46
2130,59:50:00,60:50:00,SASK,47
2130,62:29:00,62:39:00,BIGG,48
2130,63:44:00,63:44:00,UNIT,49
2130,66:33:00,66:33:00,WAIN,50
2130,67:26:00,67:26:00,VKNG,51
2130,70:50:00,74:01:00,EDMO,52
2130,75:29:00,75:29:00,EVAN,53
2130,76:52:00,76:52:00,EDSN,54
2130,77:58:00,77:58:00,HINT,55
2130,80:30:00,83:30:00,JASP,56
2130,85:50:00,85:50:00,VLMT,57
2130,88:36:00,88:36:00,BLUE,58
2130,90:45:00,90:45:00,CLWT,59
2130,93:28:00,94:03:00,KAMN,60
2130,95:49:00,95:49:00,ASHN,61
2130,98:36:00,98:36:00,BBAR,62
2130,100:06:00,100:06:00,HOPE,63
2130,100:30:00,100:30:00,CHIL,64
2130,101:00:00,101:00:00,ABBO,65
2130,107:00:00,107:00:00,VCVR,66
1296,9:55:00,9:55:00,TRTO,1
1296,12:25:00,12:25:00,WSHG,2
1296,16:57:00,16:57:00,SUDJ,3
1296,17:22:00,17:52:00,CAPR,4
1296,18:48:00,18:48:00,LAFO,5
1296,19:01:00,19:01:00,MCKC,6
1296,19:21:00,19:21:00,FELX,7
1296,19:28:00,19:28:00,RUEL,8
1296,19:45:00,19:45:00,WSTR,9
1296,20:18:00,20:18:00,GOGA,10
1296,22:44:00,22:44:00,FOLE,11
1296,23:38:00,23:38:00,ELSA,12
1296,25:38:00,25:38:00,OBAX,13
1296,26:29:00,27:09:00,HNPN,14
1296,28:05:00,28:05:00,HLSP,15
1296,28:55:00,28:55:00,CARA,16
1296,29:34:00,29:34:00,LLAC,17
1296,30:13:00,30:13:00,NAKI,18
1296,31:19:00,31:19:00,AUDN,19
1296,31:56:00,31:56:00,FERL,20
